Days,No. of cases LR,No. of cases MLP,No. of cases VAR
81*,7808.92,7868.83,10601.40
82*,11917.99,8002.83,13682.60
83*,12305.59,7993.54,14583.50
84*,19453.07,7983.92,15670.20
85*,18735.18,7977.48,17289.30
86*,28397.71,7964.45,26698.60
87*,26173.88,7962.95,31760.50
88*,40693.32,7958.09,35231.70
89*,33589.51,7955.03,39492.00
90*,58063.80,7950.54,38830.00
91*,40907.15,7944.50,57657.90
92*,89552.70,7940.39,74883.10
93*,56788.32,7934.87,90441.80
94*,150798.48,7930.32,88489.40
95*,84839.09,7925.56,81119.50
96*,245521.95,7921.09,144087.00
97*,110746.31,7916.78,182798.00
98*,379351.00,7912.50,220192.00
99*,136377.15,7908.35,219219.00
100*,598986.64,7904.26,203958.00
101*,170331.70,7900.27,304566.00
102*,971945.81,7896.38,396012.00
103*,209563.81,7892.59,578127.00
104*,1582344.50,7888.89,544025.00
105*,273441.95,7885.30,408893.00
106*,2554815.59,7881.81,691638.00
107*,392236.07,7878.42,1000000.00
108*,4055694.90,7875.13,1430000.00
109*,621204.29,7871.95,1270000.00
110*,6384538.94,7868.86,1060000.00
111*,1186337.43,7865.87,1540000.00
112*,9940794.97,7862.98,2020000.00
113*,2527199.24,7860.19,3610000.00
114*,15004728.39,7857.50,3520000.00
115*,5562688.14,7854.90,2420000.00
116*,22104623.27,7852.39,2890000.00
117*,12262871.21,7849.97,4800000.00
118*,32223941.03,7847.64,9400000.00
119*,26088053.50,7845.40,8110000.00
120*,45318195.77,7843.25,6040000.00
121*,54270550.50,7841.18,6850000.00
122*,59663263.01,7839.19,9540000.00
123*,110115023.10,7837.27,21800000.00
124*,76564011.72,7835.44,22700000.00
125*,208913310.20,7833.68,17700000.00
126*,105018921.60,7831.99,10100000.00
127*,376179905.90,7830.38,17600000.00
128*,147903976.70,7828.83,57500000.00
129*,678769292.30,7827.35,57100000.00
130*,206994172.50,7825.93,42800000.00
131*,1175630806.00,7824.57,22500000.00
132*,421594206.90,7823.28,36500000.00
133*,1789529536.00,7822.04,125000000.00
134*,1126792896.00,7820.86,146000000.00
135*,2580310966.00,7819.73,143000000.00
136*,2401726195.00,7818.65,32900000.00
137*,4155239685.00,7817.63,26800000.00
138*,4596816690.00,7816.65,300000000.00
139*,5870415755.00,7815.72,405000000.00
140*,11389299953.00,7814.83,375000000.00
141*,4443897350.00,7813.99,35300000.00
142*,26615311366.00,7813.19,44900000.00
143*,4794077579.00,7812.42,630000000.00
144*,40877363141.00,7811.70,933000000.00
145*,24332062371.00,7811.01,1180000000.00
146*,56499628059.00,7810.36,171000000.00
147*,37206760856.00,7809.74,-269000000.00
148*,147000000000.00,7809.15,1120000000.00
149*, 5379178982.00,7808.59,2620000000.00
